level,image,grade,minxp
Half Baked,halfbaked.jpg,A+,700
Cherry Garcia,cherrygarcia.jpg,A,650
Chocolate Fudge Brownie,chocfudgebrownie.jpg,A-,600
Chocolate Chip Cookie Dough,chocchipcookiedough.jpg,B+,550
The Tonight Dough,thetonightdough.jpg,B,500
Phish Food,phishfood.png,B-,470
Strawberry Cheesecake,strawberrycheesecake.jpg,C+,440
Americone Dream,americonedream.png,C,420
Chunky Monkey,chunkymonkey.jpg,C-,400
Brownie Batter Core,browniebattercore.png,D+,380
Milk & Cookies,milkandcookies.jpg,D,360
Minter Wonderland,minterwonderland.jpg,D-,340
Chocolate Therapy,chocolatetherapy.jpg,F,320
Chubby Hubby,chubbyhubby.png,F,300
Everything But the...,everythingbutthe.png,F,280
Gimme S'more!,gimmesmore.png,F,260
New York Super Fudge Chunk,nysfc.jpg,F,240
Oat of This Swirled,oatofthisswirled.png,F,220
Sugar Plum,sugarplum.jpg,F,200
Beet It,beet.png,F,175
Peanuts! Popcorn!,peanuts.png,F,150
Black & Tan,blackandtan.png,F,125
Piña Colada,pinacolada.png,F,100
Hazed & Confused,hazedandconfused.png,F,75
Aloha Macadamia,alohamacadamia.jpg,F,50
Oh Pear,ohpear.jpg,F,25
Make Mine Vanilla,vanilla.jpg,F,0
