level,image,grade,minxp
Gandalf,gandalf.png,A+,700
Harry Potter,harry.jpg,A,660
Nynaeve al'Maera,nynaeve.jpg,A-,600
Merlin,merlin.jpg,B+,560
Dr. Strange,strange.jpg,B,520
Lady Jessica,jessica.png,B-,480
Morgan le Fay,morgan.jpg,C+,440
Kvothe,kvothe.jpg,C,400
Professor Albus Dumbledore,dumbledore.jpg,C-,360
Elminster,elminster.jpg,D+,330
Moiraine Sedai,moiraine.jpg,D,300
Ged "Sparrowhawk",ged.png,F,270
Hermione Granger,hermione.jpg,F,240
Raistlin Majere,raistlin.jpg,F,210
Saruman,saruman.jpg,F,180
Egwene al'Vere,egwene.jpg,F,150
Thufir Hawat,thufir.png,F,120
The Scarlet Witch,scarlet.jpg,F,100
Melisandre,melisandre.jpg,F,80
11,11.jpg,F,60
Wicked Witch of the West,wicked.jpg,F,40
Willy Wonka,willy.jpg,F,30
Ron Weasley,ron.jpg,F,20
Alex Russo,alex.png,F,2
Fruit Pie the Magician,fruitpie.png,F,0
