level,image,grade,minxp
The Doctor,doctorwho.png,A+,700
Spock,spock.png,A,660
Dr. Hari Seldon,seldon.png,A-,600
Dr. Susan Calvin,calvin.png,B+,560
Shuri,shuri.png,B,520
Dr. Liet-Kynes,kynes.png,B-,480
Dr. Bruce Banner,banner.png,C+,440
Dr. Ellie Satler,satler.png,C,400
Dr. Jane Foster,foster.png,C-,360
Dr. Miles Bennett Dyson,dyson.png,D+,330
Dr. Eleanor Arroway,arroway.png,D,300
Dr. Mark Watney,watney.png,F,265
Dr. Stephen Falken,falken.png,F,230
Felonius Gru,gru.png,F,200
Dr. Emmitt "Doc" Brown,docbrown.png,F,175
Buddy Pine,pine.png,F,150
Dr. Joseph Albert Nefario,nefario.png,F,125
Dr. Sheldon Lee Cooper,cooper.png,F,100
Dr. Leonard Leakey Hofstadter,leonard.png,F,80
Dr. Peter Venkman,venkman.png,F,50
Dr. Bunsen Honeydew,honeydew.png,F,40
Jimmy Neutron,neutron.png,F,5
Beaker,beaker.png,F,0
